ID,Title,Work Item Type,System.AreaPath,System.IterationPath,Microsoft.VSTS.Common.Priority,Microsoft.VSTS.Scheduling.StoryPoints
3673304,508: [Engagement Manager] [Journal Entries] [TR Standard]: Ensure heading level matches the heading's visual importance/level,Bug,,,,1
3673305,508: [Engagement Manager] [Journal Entries] [4.1.2]: Select account screen checkboxes should have accessible text to list the account number and description,Bug,,,,3
3673306,508: [Engagement Manager] [Journal Entries] [1.3.1]: aria-describedby id reference is invalid,Bug,,,,2
3673307,"508: [Engagement Manager] [Journal Entries] [4.1.2]: Wijmo grid in the select accounts screen has invalid ""aria-describedby"" attribute",Bug,,,,
3673308,508: [Engagement Manager] [Journal Entries] [4.1.3]: Search results for 'select account' page are not properly announced to assistive technology,Bug,,,,3
3673309,"508: [Engagement Manager] [Journal Entries] [2.5.3]: Ensure the badge on ""Review selections"" has appropriate context",Bug,,,,2
3673311,508: [Engagement Manager] [Journal Entries] [4.1.2]: Remove incorrect aria-labelledby from input,Bug,,,,1
3673312,"508: [Engagement Manager] [Journal Entries] [4.1.2]: Aria-level=""3"" on modal subtitle should be removed",Bug,,,,1
3673313,"508: [Engagement Manager] [Journal Entries] [4.1.2]: extra role=""dialog"" is found in saf-dialog component",Bug,,,,1
3673315,508: [Engagement Manager] [Journal Entries] [2.5.3]: Provide a valid label for form fields,Bug,,,,2
3673318,508: [Engagement Manager] [Workpapers] [1.3.1][P3]: Nav toolbar needs unique name,Bug,,,,1
3673319,"508: [Engagement Manager] [Journal Entries] [4.1.2]: Ensure custom controls provide proper textual name, role, and state information",Bug,,,,3
3673320,508: [Engagement Manager] [Workpapers] [3.3.2] [P1]: Ensure headings and labels are descriptive and unique,Bug,,,,2
3673321,508: [Engagement Manager] [Workpapers] [2.1.1][P2]: User cannot rearrange or change size of columns with keyboard alone,Bug,,,,3
3673322,508: [Engagement Manager] [Workpapers] [4.1.2] [P2]: Expand folder and expand recycle bin buttons do not present role or state information,Bug,,,,2
3673325,508: [Engagement Manager] [Journal Entries] [4.1.2]: Ensure data tables are formatted using table elements,Bug,,,,2
3673326,508: [Engagement Manager] [Journal Entries] [4.1.3]: Ensure that search results in 'search' in attach workpaper modal can be determined programmatically without receiving focus,Bug,,,,2
3673327,508: [Engagement Manager] [Journal Entries] [4.1.2][P2]: Sorting status is not being properly announced for 'Attach workpaper reference' grid. + sorting button lacks proper contrast,Bug,,,,
3673328,508: [Engagement Manager] [Journal Entries] [2.1.1][P3]: The order of the columns + column width cannot be changed via keyboard on the 'attach workpaper reference' modal,Bug,,,,3
3673329,508: [Engagement Manager] [Journal Entries] [4.1.2][P4]: Subheading text has an unnecessary aria level 3,Bug,,,,2
3673331,508: [Engagement Manager] [Journal Entries] [1.3.1][P3]: Journal Entry Accounts <ol>should have <li> as direct children,Bug,,,,2
3673332,508: [Engagement Manager] [Journal Entries] [4.1.2][Wijmo Issue][P3]: Ensure filter tabs contain descriptions indicating state and role,Bug,,,,3
